"","","United States Border Patrol","","","","","","",""
"","","Sector Profile - Fiscal Year 2013 (Oct. 1st through Sept. 30th)","","","","","","",""
"","Agent","","","Marijuana","Cocaine","Accepted","","",""
"","","Apprehensions   Other Than Mexican","","","","","","",""
"SECTOR","","","","","","","Assaults","Rescues","Deaths"
"","Staffing*","","Apprehensions","(pounds)","(pounds)","Prosecutions","","",""
"Miami","92","1,738","1,350","1,006","131","228","0","N/A","N/A"
"New Orleans","62","500","238","130","5","10","0","N/A","N/A"
"Ramey","59","924","921","126","573","74","0","N/A","N/A"
"Coastal Border Sectors Total","213","3,162","2,509","1,262","709","312","0","N/A ****","N/A ****"
"Blaine","315","360","254","1","76","19","1","N/A","N/A"
"Buffalo","297","796","426","11","0","91","0","N/A","N/A"
"Detroit","410","650","171","82","0","53","2","N/A","N/A"
"Grand Forks","189","469","132","0","0","82","1","N/A","N/A"
"Havre","192","88","26","0","0","1","0","N/A","N/A"
"Houlton","202","37","36","15","0","2","0","N/A","N/A"
"Spokane","247","299","62","1","0","25","0","N/A","N/A"
"Swanton","304","531","451","332","1","147","3","N/A","N/A"
"Northern Border Sectors Total","2,156","3,230","1,558","442","78","420","7","N/A ****","N/A ****"
"Big Bend (formerly Marfa)","623","3,684","510","34,888","10","1,381","5","54","3"
"Del Rio","1,598","23,510","9,505","34,924","38","18,477","7","11","18"
"El Centro","1,141","16,306","1,165","5,653","112","1,017","21","9","3"
"El Paso","2,631","11,154","1,062","66,940","215","8,503","24","37","2"
"Laredo","1,804","50,749","17,977","194,317","737","15,335","59","693","56"
"Rio Grande Valley (formerly McAllen)","3,086","154,453","96,829","797,249","1,819","12,797","120","721","156"
"San Diego","2,572","27,496","1,273","47,822","828","1,457","73","15","7"
"Tucson","4,135","120,939","19,847","1,193,083","12","39,217","136","802","194"
"Yuma","911","6,106","820","53,543","140","4,856","16","4","6"
"Southwest Border Sectors Total","18,611 **","414,397","148,988","2,428,419","3,910","103,040","461","2,346","445"
"Nationwide Total","21,391 ***","420,789","153,055","2,430,123","4,696","103,772","468","2,346","445"
"","*  Agent staffing statistics depict FY13 on-board personnel data as of 9/21/13 and include re-employed annuitants.","","","","","","","",""
"","** Southwest Border Sectors staffing statistics include:   Big Bend, Del Rio, El Centro, El Paso, Laredo, Rio Grande Valley, San Diego, Tucson, Yuma, and the Special Operations Group.","","","","","","","",""
"***  Nationwide staffing statistics include:  All on-board Border Patrol agents in CBP and re-employed annuitants","","","","","","","","",""
"","****  Rescue and Death statistics are not tracked for Northern and Coastal Border Sectors.","","","","","","","",""
