"","","United States Border Patrol","","","","","","",""
"","","Sector Profile - Fiscal Year 2017 (Oct. 1st through Sept. 30th)","","","","","","",""
"","Agent","","","Marijuana","Cocaine","Accepted","","",""
"SECTOR","","Apprehensions   Other Than Mexican","","","","","Assaults","Rescues","Deaths"
"","","","","","","","","",""
"","Staffing*","","Apprehensions","(pounds)","(pounds)","Prosecutions","","",""
"Miami","111","2,280","1,646","2,253","231","292","1","N/A","N/A"
"New Orleans","63","920","528","21","6","10","0","N/A","N/A"
"Ramey","38","388","387","3","2,932","89","0","N/A","N/A"
"Coastal Border Sectors Total","212","3,588","2,561","2,277","3,169","391","1","N/A ****","N/A ****"
"Blaine","296","288","237","0","0","9","0","N/A","N/A"
"Buffalo","277","447","293","228","2","37","2","N/A","N/A"
"Detroit","408","1,070","322","124","0","85","1","N/A","N/A"
"Grand Forks","189","496","202","0","0","40","2","N/A","N/A"
"Havre","183","39","28","98","0","2","0","N/A","N/A"
"Houlton","173","30","30","17","0","2","0","N/A","N/A"
"Spokane","230","208","67","68","0","24","0","N/A","N/A"
"Swanton","292","449","359","531","1","103","6","N/A","N/A"
"Northern Border Sectors Total","2,048","3,027","1,538","1,066","3","302","11","N/A ****","N/A ****"
"Big Bend (formerly Marfa)","500","6,002","3,346","40,852","45","2,847","11","26","1"
"Del Rio","1,391","13,476","6,156","9,482","62","8,022","12","99","18"
"El Centro","870","18,633","5,812","5,554","484","1,413","34","4","2"
"El Paso","2,182","25,193","15,337","34,189","140","6,996","54","44","8"
"Laredo","1,666","25,460","7,891","69,535","757","6,119","31","1,054","83"
"Rio Grande Valley (formerly McAllen)","3,130","137,562","107,909","260,020","1,192","7,979","422","1,190","104"
"San Diego","2,199","26,086","7,060","10,985","2,903","3,099","84","48","4"
"Tucson","3,691","38,657","12,328","397,090","331","20,963","93","750","72"
"Yuma","859","12,847","10,139","30,181","261","2,367","33","6","2"
"Southwest Border Sectors Total**","16,605","303,916","175,978","857,888","6,174","59,805","774","3,221","294"
"Nationwide Total***","19,437","310,531","180,077","861,231","9,346","60,498","786","3,221","294"
"","*  Agent staffing statistics depict FY17 on-board personnel data as of 9/30/2017","","","","","","","",""
"","** Southwest Border Sectors staffing statistics include:   Big Bend, Del Rio, El Centro, El Paso, Laredo, Rio Grande Valley, San Diego, Tucson, Yuma, and the Special Operations Group.","","","","","","","",""
"***  Nationwide staffing statistics include:  All on-board Border Patrol agents in CBP","","","","","","","","",""
"","****  Rescue and Death statistics are not tracked for Northern and Coastal Border Sectors.","","","","","","","",""
