SECTOR,AGENT_STAFFING,APPREHENSIONS,OTHER_THAN_MEXICAN_APPREHENSIONS,CANNABIS,COCAINE,ACCEPTED_PROSECUTIONS,ASSAULTS,RESCUES,DEATHS
Miami,96,"1,752","1,479",485,316,155,0,,
New Orleans,66,849,455,57,3,10,0,,
Ramey,50,557,556,612,"6,565",55,0,,
Coastal Border Sectors Total,212,"3,158","2,490","1,154","6,884",220,0,N/A ****,N/A ****
Blaine,297,282,215,94,0,13,4,,
Buffalo,283,291,154,2,0,32,0,,
Detroit,411,637,210,13,2,42,1,,
Grand Forks,174,789,226,1,0,93,0,,
Havre,167,64,18,4,0,0,0,,
Houlton,193,32,31,20,0,1,0,,
Spokane,229,190,37,19,37,10,0,,
Swanton,297,341,298,502,3,108,0,,
Northern Border Sectors Total,"2,051","2,626","1,189",654,42,299,5,N/A ****,N/A ****
Big Bend (formerly Marfa),549,"5,031","2,854","34,506",95,"1,451",5,23,4
Del Rio,"1,536","19,013","8,139","15,718",69,"10,948",3,8,12
El Centro,"1,004","12,820","1,500","8,768",332,"1,352",39,7,4
El Paso,"2,364","14,495","3,818","60,030",175,"6,125",27,31,2
Laredo,"1,670","35,888","10,122","92,769",760,"14,903",34,491,47
Rio Grande Valley (formerly McAllen),"3,056","147,257","99,084","516,664","1,809","9,049",110,714,97
San Diego,"2,430","26,290","2,021","8,158",895,"1,907",60,105,6
Tucson,"3,991","63,397","14,481","746,868",153,"30,518",87,790,63
Yuma,804,"7,142","3,297","53,019",3,"2,071",8,14,5
Southwest Border Sectors Total,"17,522 **","331,333","145,316","1,536,499","4,294","78,324",373,"2,183",240
Nationwide Total,"20,273***","337,117","148,995","1,538,307","11,220","78,843",378,"2,183",240
