SECTOR,AGENT_STAFFING,APPREHENSIONS,OTHER_THAN_MEXICAN_APPREHENSIONS,CANNABIS,COCAINE,ACCEPTED_PROSECUTIONS,ASSAULTS,RESCUES,DEATHS,YEAR
Big Bend,667,4036,415,"55,742.94",262.8,950,3,28,2.0,2011-01-01
Big Bend,693,3964,547,"50,793",58.46,"1,776",1,21,1.0,2012-01-01
Big Bend,623,3684,510,"34,888",10,"1,381",5,54,3.0,2013-01-01
Big Bend,588,4096,932,"29,714",27,"1,637",2,65,5.0,2014-01-01
Big Bend,549,5031,"2,854","34,506",95,"1,451",5,23,4.0,2015-01-01
Big Bend,511,6366,"3,638","41,752",16,"2,392",9,42,2.0,2016-01-01
Big Bend,500,6002,"3,346","40,852",45,"2,847",11,26,1.0,2017-01-01
Del Rio,1626,16144,"4,447","75,325.24",442.89,"9,433",9,12,18.0,2011-01-01
Del Rio,1655,21720,"9,316","63,485",50.39,"14,642",14,7,29.0,2012-01-01
Del Rio,1598,23510,"9,505","34,924",38,"18,477",7,11,18.0,2013-01-01
Del Rio,1537,24255,"14,059","21,930",24,"13,407",12,17,17.0,2014-01-01
Del Rio,1536,19013,"8,139","15,718",69,"10,948",3,8,12.0,2015-01-01
Del Rio,1439,23078,"10,125","10,128",0,"13,987",13,18,14.0,2016-01-01
Del Rio,1391,13476,"6,156","9,482",62,"8,022",12,99,18.0,2017-01-01
El Centro,1164,30191,717,"49,815.36","1,335.25","1,197",124,28,5.0,2011-01-01
El Centro,1168,23916,"1,405","13,135",882.52,"1,059",35,1,1.0,2012-01-01
El Centro,1141,16306,"1,165","5,653",112,"1,017",21,9,3.0,2013-01-01
El Centro,1074,14511,"2,000","5,858",148,"1,422",28,12,6.0,2014-01-01
El Centro,1004,12820,"1,500","8,768",332,"1,352",39,7,4.0,2015-01-01
El Centro,927,19448,"5,087","2,899",126,"1,134",22,36,9.0,2016-01-01
El Centro,870,18633,"5,812","5,554",484,"1,413",34,4,2.0,2017-01-01
El Paso,2738,10345,712,"43,667.19",115.56,"6,906",37,20,6.0,2011-01-01
El Paso,2718,9678,763,"39,933",205.9,"7,086",17,20,1.0,2012-01-01
El Paso,2631,11154,"1,062","66,940",215,"8,503",24,37,2.0,2013-01-01
El Paso,2522,12339,"2,435","44,010",156,"6,103",19,3,0.0,2014-01-01
El Paso,2364,14495,"3,818","60,030",175,"6,125",27,31,2.0,2015-01-01
El Paso,2240,25634,"11,974","67,532",157,"6,900",34,13,1.0,2016-01-01
El Paso,2182,25193,"15,337","34,189",140,"6,996",54,44,8.0,2017-01-01
Laredo,1871,36053,"6,922","132,442.80",509.79,"9,678",26,203,65.0,2011-01-01
Laredo,1879,44872,"13,130","148,603",418.63,"11,757",43,290,90.0,2012-01-01
Laredo,1804,50749,"17,977","194,317",737,"15,335",59,693,56.0,2013-01-01
Laredo,1785,44049,"17,509","123,383",598,"13,979",26,456,49.0,2014-01-01
Laredo,1670,35888,"10,122","92,769",760,"14,903",34,491,47.0,2015-01-01
Laredo,1670,36562,"11,225","73,261",663,"12,001",28,982,68.0,2016-01-01
Laredo,1666,25460,"7,891","69,535",757,"6,119",31,"1,054",83.0,2017-01-01
Rio Grande Valley,2504,59243,"20,890","1,021,841.60","3,163.79","9,088",108,238,66.0,2011-01-01
Rio Grande Valley,2546,97762,"49,939","886,001","2,174.25","11,562",125,318,150.0,2012-01-01
Rio Grande Valley,3086,154453,"96,829","797,249","1,819","12,797",120,721,156.0,2013-01-01
Rio Grande Valley,3064,256393,"192,925","654,162","1,627","9,761",89,377,115.0,2014-01-01
Rio Grande Valley,3056,147257,"99,084","516,664","1,809","9,049",110,714,97.0,2015-01-01
Rio Grande Valley,3135,186830,"140,496","326,393","1,460","8,781",151,"1,377",130.0,2016-01-01
Rio Grande Valley,3130,137562,"107,909","260,020","1,192","7,979",422,"1,190",104.0,2017-01-01
San Diego,2669,42447,"1,166","68,824.69","2,504.17","1,857",77,27,14.0,2011-01-01
San Diego,2623,28461,"1,154","48,687","1,347.18","1,724",133,21,5.0,2012-01-01
San Diego,2572,27496,"1,273","47,822",828,"1,457",73,15,7.0,2013-01-01
San Diego,2546,29911,"2,040","17,497","1,697","1,980",85,16,5.0,2014-01-01
San Diego,2430,26290,"2,021","8,158",895,"1,907",60,105,6.0,2015-01-01
San Diego,2325,31891,"6,511","9,167","1,317","2,683",52,77,7.0,2016-01-01
San Diego,2199,26086,"7,060","10,985","2,903","3,099",84,48,4.0,2017-01-01
Tucson,4239,123285,"11,311","1,039,442.69",170.58,"32,703",251,509,180.0,2011-01-01
Tucson,4176,120000,"17,697","1,015,332",417.02,"38,645",164,632,177.0,2012-01-01
Tucson,4135,120939,"19,847","1,193,083",12,"39,217",136,802,194.0,2013-01-01
Tucson,4052,87915,"19,045","971,180",44,"39,454",99,509,107.0,2014-01-01
Tucson,3991,63397,"14,481","746,868",153,"30,518",87,790,63.0,2015-01-01
Tucson,3834,64891,"18,397","728,367",174,"24,036",123,"1,409",84.0,2016-01-01
Tucson,3691,38657,"12,328","397,090",331,"20,963",93,750,72.0,2017-01-01
Yuma,969,5833,417,"31,108.92",257.91,"3,163",31,5,1.0,2011-01-01
Yuma,954,6500,581,"31,692",437.76,"3,954",17,2,9.0,2012-01-01
Yuma,911,6106,820,"53,543",140,"4,856",16,4,6.0,2013-01-01
Yuma,859,5902,"1,655","52,677",120,"3,986",6,2,3.0,2014-01-01
Yuma,804,7142,"3,297","53,019",3,"2,071",8,14,5.0,2015-01-01
Yuma,829,14170,"10,657","32,608",271,"2,341",7,10,7.0,2016-01-01
Yuma,859,12847,"10,139","30,181",261,"2,367",33,6,2.0,2017-01-01
