Apprehension/Seizure Type,Coastal Border Sectors,Northern Border Sectors,Southwest Border Sectors,Nationwide Total
Apprehensions,"3,588","3,027","303,916","310,531"
Other Than Mexican Apprehensions,"2,561","1,538","175,978","180,077"
Marijuana (pounds),"2,277","1,066","857,888","861,231"
Cocaine (pounds),"3,169",3,"6,174","9,346"
Heroin (ounces),0,62,"15,182","15,244"
Methamphetamine (pounds),23,32,"10,273","10,328"
Ecstasy (pounds),0,0,1,1
Other Drugs* (pounds),0,14,554,568
Marijuana Seizures,113,255,"9,371","9,739"
Cocaine Seizures,33,46,463,542
Heroin Seizures,0,29,219,248
Methamphetamine Seizures,2,68,809,879
Ecstasy Seizures,1,2,48,51
Other Drugs* Seizures,6,99,735,840
Conveyances,86,79,"7,388","7,553"
Firearms,9,45,369,423
Ammunition (rounds),217,384,"13,938","14,539"
Currency (value),"$325,129 ","$374,282 ","$5,169,593 ","$5,869,004 "
